City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saipan,15.1355,145.701,28.39,87,40,4.63,MP,1732905877
83,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,93,75,2.0,RU,1732905677
84,kawambwa,-9.7915,29.0791,18.31,95,100,0.35,ZM,1732905880
85,shaowu,27.3409,117.4831,5.81,63,0,0.34,CN,1732905881
86,bloomfield,40.8068,-74.1854,7.83,56,100,6.17,US,1732905882
87,avarua,-21.2078,-159.775,26.03,83,75,2.57,CK,1732905883
88,maceio,-9.6658,-35.7353,30.69,54,20,7.2,BR,1732905885
89,port elizabeth,-33.918,25.5701,18.51,81,0,4.12,ZA,1732905627
90,poronaysk,49.2167,143.1167,-2.53,92,100,3.59,RU,1732905888
91,tindouf,27.6711,-8.1474,24.25,16,0,2.06,DZ,1732905889
92,georgetown,5.4112,100.3354,25.96,83,20,1.54,MY,1732905890
93,jangipur,24.4667,88.0667,18.93,54,0,3.22,IN,1732905892
94,colonia,50.9333,6.95,4.42,80,0,3.6,DE,1732905893
95,udachny,66.4167,112.4,-21.12,94,100,6.25,RU,1732905894
96,katabu,-4.9333,122.5167,24.85,94,99,0.48,ID,1732905895
97,invercargill,-46.4,168.35,7.79,93,8,1.62,NZ,1732905679
98,wonosobo,-7.36,109.9025,19.93,100,100,0.94,ID,1732905900
99,kapa'a,22.0752,-159.319,19.18,100,0,2.57,US,1732905906
100,lloydminster,53.2835,-110.0016,-21.88,84,100,2.06,CA,1732905909
101,bom jesus,-9.0744,-44.3586,38.01,22,84,2.66,BR,1732905910
102,cabo san lucas,22.8909,-109.9124,26.17,61,20,2.68,MX,1732905581
103,atafu village,-8.5421,-172.5159,28.35,71,12,6.42,TK,1732905912
104,cannonvale,-20.2833,148.7,25.66,89,100,1.86,AU,1732905913
105,northport,33.229,-87.5772,8.5,52,0,5.14,US,1732905914
106,capitao poco,-1.7464,-47.0594,38.19,21,100,4.64,BR,1732905916
107,belozersk,60.0326,37.7957,1.4,91,100,6.63,RU,1732905917
108,mount isa,-20.7333,139.5,19.87,94,0,0.0,AU,1732905918
109,naze,28.3667,129.4833,16.51,66,100,5.97,JP,1732905919
110,brisas de zicatela,15.8369,-97.0419,30.29,70,0,3.09,MX,1732905920
111,tura,25.5198,90.2201,16.11,66,1,1.49,IN,1732905921
112,nadi,-17.8,177.4167,23.0,88,75,0.0,FJ,1732905923
113,chaman,30.9236,66.4512,16.51,43,100,2.19,PK,1732905924
114,saint-pierre,-21.3393,55.4781,24.82,57,0,2.57,RE,1732905925
115,acapulco de juarez,16.8634,-99.8901,29.9,66,0,2.06,MX,1732905645
116,elkins,38.9259,-79.8467,-1.62,86,100,6.17,US,1732905927
117,sault ste. marie,46.5168,-84.3333,-0.84,93,100,3.6,CA,1732905929
118,ta`u,-14.2336,-169.5144,26.98,79,100,4.37,AS,1732905930
119,strezhevoy,60.7333,77.5889,-9.32,93,31,3.31,RU,1732905931
120,puerto baquerizo moreno,-0.9,-89.6,26.55,57,40,5.14,EC,1732905932
121,san fernando de apure,7.8878,-67.4724,34.36,44,10,2.69,VE,1732905933
122,rawson,-43.3002,-65.1023,21.16,43,20,4.63,AR,1732905934
123,igarka,67.4667,86.5833,-21.61,100,99,1.72,RU,1732905937
124,plastun,44.7561,136.2939,-6.39,55,3,5.49,RU,1732905938
125,isafjordur,66.0755,-23.124,-9.98,79,20,0.0,IS,1732905939
126,amga,60.8953,131.9608,-16.21,96,100,0.89,RU,1732905940
127,pyrgos,37.6751,21.441,17.22,82,100,4.03,GR,1732905942
128,boende,-0.2167,20.8667,24.64,81,100,0.91,CD,1732905943
129,chabahar,25.2919,60.643,26.79,63,0,6.48,IR,1732905944
130,hawaiian paradise park,19.5933,-154.9731,22.16,97,100,1.54,US,1732905945
131,pimentel,-6.8367,-79.9342,25.16,61,0,7.2,PE,1732905947
132,itoman,26.1247,127.6694,18.21,59,99,6.17,JP,1732905622
133,fort bragg,35.139,-79.006,12.85,46,0,3.09,US,1732905652
134,cockburn town,21.4612,-71.1419,27.98,94,40,2.57,TC,1732905951
135,goianesia,-15.3175,-49.1175,27.88,67,100,2.11,BR,1732905952
136,leeton,-34.5667,146.4,19.49,95,100,4.3,AU,1732905953
137,kapuskasing,49.4169,-82.4331,-2.95,93,100,4.63,CA,1732905703
138,nguigmi,14.2495,13.1092,20.81,24,0,5.66,NE,1732905955
139,argo,37.6333,22.7333,14.05,79,47,1.17,GR,1732905957
140,rapid valley,44.0625,-103.1463,-3.65,79,20,3.09,US,1732905958
141,afaahiti,-17.75,-149.2833,25.89,81,76,6.93,PF,1732905959
142,punta arenas,-53.15,-70.9167,12.06,58,75,12.86,CL,1732905666
143,arraial do cabo,-22.9661,-42.0278,24.98,94,75,5.66,BR,1732905961
144,ol kalou,-0.2658,36.379,12.55,95,96,1.92,KE,1732905962
145,piacabucu,-10.4056,-36.4344,28.22,61,18,5.53,BR,1732905964
146,belmonte,-15.8631,-38.8828,27.66,75,100,6.02,BR,1732905965
147,furukawa,38.5717,140.9556,4.04,88,97,2.89,JP,1732905966
148,turpan,42.9333,89.1667,-1.65,60,0,0.48,CN,1732905967
149,ust-nera,64.5667,143.2,-24.88,93,13,0.59,RU,1732905968
150,northam,51.0333,-4.2167,12.01,96,100,7.81,GB,1732905970
151,jamestown,42.097,-79.2353,-0.55,88,100,6.69,US,1732905676
152,el rosario,24.2556,-107.1828,29.18,31,99,2.83,MX,1732905972
153,kayangel,8.0823,134.7173,28.51,76,44,3.8,PW,1732905973
154,tolanaro,-25.0319,46.9987,22.04,88,75,2.57,MG,1732905974
155,altamira,-3.2033,-52.2064,34.05,52,75,3.6,BR,1732905975
156,hithadhoo,-0.6,73.0833,27.41,82,17,11.9,MV,1732905977
157,lihue,21.9789,-159.3672,18.77,100,0,2.57,US,1732905768
158,whitehorse,60.7161,-135.0538,-19.57,76,100,4.12,CA,1732905671
159,west island,-12.1568,96.8225,26.99,94,20,3.6,CC,1732905980
160,fort mcmurray,56.7268,-111.381,-23.27,77,100,2.06,CA,1732905981
161,new norfolk,-42.7826,147.0587,13.84,88,100,0.49,AU,1732905983
162,margate,51.3813,1.3862,7.05,76,10,1.34,GB,1732905985
163,masterton,-40.9597,175.6575,11.15,89,100,0.71,NZ,1732905986
164,suva,-18.1416,178.4415,22.71,100,75,3.09,FJ,1732905987
165,hermanus,-34.4187,19.2345,18.78,71,12,4.35,ZA,1732905637
166,mamuju,-2.6748,118.8885,26.44,87,90,1.5,ID,1732905989
167,ravar,31.2656,56.8055,10.45,26,0,3.31,IR,1732905990
168,hasaki,35.7333,140.8333,11.06,56,0,5.46,JP,1732905992
169,fortuna,40.5982,-124.1573,8.88,100,0,2.57,US,1732905993
170,colonel hill,22.7667,-74.2167,26.81,79,2,3.55,BS,1732905994
171,abepura,-2.6333,140.5833,25.45,89,20,0.51,ID,1732905995
172,majene,-3.5403,118.9707,25.81,83,100,2.09,ID,1732905996
173,san joaquin,37.9333,-121.3011,11.31,83,93,1.58,US,1732905998
174,yorkton,51.2167,-102.4677,-22.09,84,75,3.09,CA,1732905999
175,chibougamau,49.9168,-74.3659,-3.21,74,100,4.12,CA,1732906000
176,codrington,-38.2667,141.9667,16.5,98,100,3.79,AU,1732906001
177,salym,60.0625,71.4789,-1.78,96,100,2.21,RU,1732906002
178,campoalegre,2.6849,-75.3231,30.39,67,8,0.78,CO,1732906003
179,vorgashor,67.5833,63.95,-5.59,88,100,6.72,RU,1732905704
180,changleng,28.7,115.8167,10.51,44,0,1.02,CN,1732906006
181,camlidere,40.4896,32.475,-2.47,94,46,0.28,TR,1732906007
182,sima,53.9202,102.0442,-11.43,98,96,0.44,RU,1732906008
183,tralee,52.2704,-9.7026,12.12,96,89,2.96,IE,1732906009
184,talnakh,69.4865,88.3972,-20.15,99,100,3.88,RU,1732906010
185,at taj,24.2049,23.2857,13.69,45,78,2.89,LY,1732906012
